127.0.0.1 - - [28/Apr/2023:09:31:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:31:49 +0900] "GET /javascript/mypage.html HTTP/1.1" 200 4494
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:31:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:34:24 +0900] "GET /javascript/mypage.html HTTP/1.1" 200 4472
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:20 +0900] "GET /javascript/mypage.html HTTP/1.1" 200 4450
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:21 +0900] "GET /javascript/mypage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:38 +0900] "GET /javascript/mypage.html HTTP/1.1" 200 4428
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:38:03 +0900] "GET /javascript/mypage.html HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:38:04 +0900] "GET /javascript/mypage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:38:07 +0900] "GET /javascript/mypage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:38:16 +0900] "GET /javascript/mypage.html HTTP/1.1" 200 4406
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:40:03 +0900] "GET /javascript/mypage.html HTTP/1.1" 200 4377
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:40:04 +0900] "GET /javascript/mypage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:40:05 +0900] "GET /javascript/mypage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:40:05 +0900] "GET /javascript/mypage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:40:05 +0900] "GET /javascript/mypage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:55:49 +0900] "GET /javascript/mypage.html HTTP/1.1" 200 4434
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:55:49 +0900] "GET /javascript/mypage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:10:20 +0900] "GET /javascript/mypage.html HTTP/1.1" 200 4498
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:10:21 +0900] "GET /javascript/mypage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:10:27 +0900] "GET /javascript/mypage.html HTTP/1.1" 200 4511
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:10:28 +0900] "GET /javascript/mypage.html HTTP/1.1" 304 -
192.168.20.31 - - [28/Apr/2023:10:17:03 +0900] "GET /javascript/mypage.html HTTP/1.1" 200 4511
192.168.20.31 - - [28/Apr/2023:10:17:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:04:31 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:06:23 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:16:01 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:17 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:46:49 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:48:15 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:48:25 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 1515
0:0:0:0:0:0:0:1 - - [28/Apr/2023:13:36:55 +0900] "GET /javascript/01_conditional.html HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [28/Apr/2023:13:37:06 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [28/Apr/2023:13:38:55 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [28/Apr/2023:13:40:19 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [28/Apr/2023:13:49:33 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [28/Apr/2023:14:03:53 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 200 2084
0:0:0:0:0:0:0:1 - - [28/Apr/2023:14:10:46 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [28/Apr/2023:14:11:19 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 200 2256
0:0:0:0:0:0:0:1 - - [28/Apr/2023:14:18:26 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [28/Apr/2023:14:44:10 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 200 2733
0:0:0:0:0:0:0:1 - - [28/Apr/2023:14:51:30 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 200 2962
0:0:0:0:0:0:0:1 - - [28/Apr/2023:15:05:11 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 200 3703
0:0:0:0:0:0:0:1 - - [28/Apr/2023:15:05:21 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:15:05:23 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:15:05:26 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:15:05:26 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 200 3718
0:0:0:0:0:0:0:1 - - [28/Apr/2023:15:05:26 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:15:37:09 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 200 4051
0:0:0:0:0:0:0:1 - - [28/Apr/2023:15:37:26 +0900] "GET /javascript/02_conditional.html HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [28/Apr/2023:15:47:39 +0900] "GET /javascript/03_switch.html HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [28/Apr/2023:15:54:45 +0900] "GET /javascript/03_switch.html HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [28/Apr/2023:15:54:45 +0900] "GET /javascript/js/switch.js HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [28/Apr/2023:15:57:54 +0900] "GET /javascript/03_switch.html HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [28/Apr/2023:15:57:54 +0900] "GET /javascript/js/switch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:16:08:09 +0900] "GET /javascript/03_switch.html HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [28/Apr/2023:16:08:09 +0900] "GET /javascript/js/switch.js HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [28/Apr/2023:16:21:29 +0900] "GET /javascript/03_switch.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:16:21:29 +0900] "GET /javascript/js/switch.js HTTP/1.1" 200 1085
